profile,features,threshold,accuracy,precision,recall,f1,tp,fp,tn,fn
full_v02,100,0.15,0.9538,0.9259,0.9615,0.9434,25,2,37,1
strict_precheck,94,0.15,0.9538,0.9259,0.9615,0.9434,25,2,37,1
strict_no_negative_count,99,0.15,0.9538,0.9259,0.9615,0.9434,25,2,37,1
precondition_only,44,0.15,0.9538,0.9259,0.9615,0.9434,25,2,37,1
scanner_only,32,0.1,0.4,0.4,1.0,0.5714,26,39,0,0
no_metasploit,96,0.15,0.9538,0.9259,0.9615,0.9434,25,2,37,1
no_nuclei_confirm,99,0.15,0.9538,0.9259,0.9615,0.9434,25,2,37,1
